recipe_id,target_id,recipe_type,phase_index,phase_name,duration_s,serial_required,fpp_lanes_required,fpp_channel,dwr_segments,route_resource,power_w,thermal_region,notes
F_core_die0_logic_lane1,core_die0_logic,F,0,CONFIG_ACCESS_PATH,1.92e-06,True,0,,,,0.12,thermal_die0,
F_core_die0_logic_lane1,core_die0_logic,F,1,CONFIG_FPP,1.28e-06,True,0,fpp_ch0,,,0.12,thermal_die0,
F_core_die0_logic_lane1,core_die0_logic,F,2,CONFIG_SCAN_OR_DWR_MODE,1.32e-06,True,0,,dwr_die0_upper,,0.12,thermal_die0,
F_core_die0_logic_lane1,core_die0_logic,F,3,FPP_SHIFT_IN,0.001536,False,1,fpp_ch0,dwr_die0_upper,,1.0,thermal_die0,
F_core_die0_logic_lane1,core_die0_logic,F,4,CAPTURE,1e-06,False,0,,,,1.92,thermal_die0,
F_core_die0_logic_lane1,core_die0_logic,F,5,FPP_SHIFT_OUT,0.001536,False,1,fpp_ch0,dwr_die0_upper,,1.0,thermal_die0,
F_core_die0_logic_lane2,core_die0_logic,F,0,CONFIG_ACCESS_PATH,1.92e-06,True,0,,,,0.12,thermal_die0,
F_core_die0_logic_lane2,core_die0_logic,F,1,CONFIG_FPP,1.28e-06,True,0,fpp_ch0,,,0.12,thermal_die0,
F_core_die0_logic_lane2,core_die0_logic,F,2,CONFIG_SCAN_OR_DWR_MODE,1.32e-06,True,0,,dwr_die0_upper,,0.12,thermal_die0,
F_core_die0_logic_lane2,core_die0_logic,F,3,FPP_SHIFT_IN,0.000768,False,2,fpp_ch0,dwr_die0_upper,,1.0299999999999998,thermal_die0,
F_core_die0_logic_lane2,core_die0_logic,F,4,CAPTURE,1e-06,False,0,,,,1.92,thermal_die0,
F_core_die0_logic_lane2,core_die0_logic,F,5,FPP_SHIFT_OUT,0.000768,False,2,fpp_ch0,dwr_die0_upper,,1.0299999999999998,thermal_die0,
H_core_die0_logic_lane1,core_die0_logic,H,0,CONFIG_ACCESS_PATH,1.92e-06,True,0,,,,0.12,thermal_die0,
H_core_die0_logic_lane1,core_die0_logic,H,1,CONFIG_FPP,1.28e-06,True,0,fpp_ch0,,,0.12,thermal_die0,
H_core_die0_logic_lane1,core_die0_logic,H,2,CONFIG_SCAN_OR_DWR_MODE,1.32e-06,True,0,,dwr_die0_upper,,0.12,thermal_die0,
H_core_die0_logic_lane1,core_die0_logic,H,3,FPP_SHIFT_IN,0.001536,False,1,fpp_ch0,dwr_die0_upper,,0.99,thermal_die0,
H_core_die0_logic_lane1,core_die0_logic,H,4,CAPTURE,1e-06,False,0,,,,1.92,thermal_die0,
H_core_die0_logic_lane1,core_die0_logic,H,5,FPP_SHIFT_OUT,0.001536,False,1,fpp_ch0,dwr_die0_upper,,0.99,thermal_die0,
H_core_die0_logic_lane1,core_die0_logic,H,6,SERIAL_STATUS_READBACK,1.28e-06,True,0,,,,0.12,thermal_die0,
H_core_die0_logic_lane2,core_die0_logic,H,0,CONFIG_ACCESS_PATH,1.92e-06,True,0,,,,0.12,thermal_die0,
H_core_die0_logic_lane2,core_die0_logic,H,1,CONFIG_FPP,1.28e-06,True,0,fpp_ch0,,,0.12,thermal_die0,
H_core_die0_logic_lane2,core_die0_logic,H,2,CONFIG_SCAN_OR_DWR_MODE,1.32e-06,True,0,,dwr_die0_upper,,0.12,thermal_die0,
H_core_die0_logic_lane2,core_die0_logic,H,3,FPP_SHIFT_IN,0.000768,False,2,fpp_ch0,dwr_die0_upper,,1.01,thermal_die0,
H_core_die0_logic_lane2,core_die0_logic,H,4,CAPTURE,1e-06,False,0,,,,1.92,thermal_die0,
H_core_die0_logic_lane2,core_die0_logic,H,5,FPP_SHIFT_OUT,0.000768,False,2,fpp_ch0,dwr_die0_upper,,1.01,thermal_die0,
H_core_die0_logic_lane2,core_die0_logic,H,6,SERIAL_STATUS_READBACK,1.28e-06,True,0,,,,0.12,thermal_die0,
S_core_die0_logic_serial,core_die0_logic,S,0,CONFIG_ACCESS_PATH,1.92e-06,True,0,,,,0.12,thermal_die0,
S_core_die0_logic_serial,core_die0_logic,S,1,CONFIG_SCAN_OR_DWR_MODE,1.32e-06,True,0,,dwr_die0_upper,,0.12,thermal_die0,
S_core_die0_logic_serial,core_die0_logic,S,2,SERIAL_SHIFT_IN,0.006144,True,0,,,,0.97,thermal_die0,
S_core_die0_logic_serial,core_die0_logic,S,3,CAPTURE,1e-06,False,0,,,,1.92,thermal_die0,
S_core_die0_logic_serial,core_die0_logic,S,4,SERIAL_SHIFT_OUT,0.00614912,True,0,,dwr_die0_upper,,0.97,thermal_die0,
F_core_die1_cpu_lane1,core_die1_cpu,F,0,CONFIG_ACCESS_PATH,3.2e-06,True,0,,,,0.14,thermal_die1,
F_core_die1_cpu_lane1,core_die1_cpu,F,1,CONFIG_FPP,1.28e-06,True,0,fpp_ch0,,,0.14,thermal_die1,
F_core_die1_cpu_lane1,core_die1_cpu,F,2,CONFIG_SCAN_OR_DWR_MODE,1.64e-06,True,0,,dwr_die1_lower;dwr_die1_upper,,0.14,thermal_die1,
F_core_die1_cpu_lane1,core_die1_cpu,F,3,FPP_SHIFT_IN,0.0024,False,1,fpp_ch0,dwr_die1_lower;dwr_die1_upper,,1.2200000000000002,thermal_die1,
F_core_die1_cpu_lane1,core_die1_cpu,F,4,CAPTURE,1e-06,False,0,,,,2.24,thermal_die1,
F_core_die1_cpu_lane1,core_die1_cpu,F,5,FPP_SHIFT_OUT,0.0024,False,1,fpp_ch0,dwr_die1_lower;dwr_die1_upper,,1.2200000000000002,thermal_die1,
F_core_die1_cpu_lane2,core_die1_cpu,F,0,CONFIG_ACCESS_PATH,3.2e-06,True,0,,,,0.14,thermal_die1,
F_core_die1_cpu_lane2,core_die1_cpu,F,1,CONFIG_FPP,1.28e-06,True,0,fpp_ch0,,,0.14,thermal_die1,
F_core_die1_cpu_lane2,core_die1_cpu,F,2,CONFIG_SCAN_OR_DWR_MODE,1.64e-06,True,0,,dwr_die1_lower;dwr_die1_upper,,0.14,thermal_die1,
F_core_die1_cpu_lane2,core_die1_cpu,F,3,FPP_SHIFT_IN,0.0012,False,2,fpp_ch0,dwr_die1_lower;dwr_die1_upper,,1.25,thermal_die1,
F_core_die1_cpu_lane2,core_die1_cpu,F,4,CAPTURE,1e-06,False,0,,,,2.24,thermal_die1,
F_core_die1_cpu_lane2,core_die1_cpu,F,5,FPP_SHIFT_OUT,0.0012,False,2,fpp_ch0,dwr_die1_lower;dwr_die1_upper,,1.25,thermal_die1,
H_core_die1_cpu_lane1,core_die1_cpu,H,0,CONFIG_ACCESS_PATH,3.2e-06,True,0,,,,0.14,thermal_die1,
H_core_die1_cpu_lane1,core_die1_cpu,H,1,CONFIG_FPP,1.28e-06,True,0,fpp_ch0,,,0.14,thermal_die1,
H_core_die1_cpu_lane1,core_die1_cpu,H,2,CONFIG_SCAN_OR_DWR_MODE,1.64e-06,True,0,,dwr_die1_lower;dwr_die1_upper,,0.14,thermal_die1,
H_core_die1_cpu_lane1,core_die1_cpu,H,3,FPP_SHIFT_IN,0.0024,False,1,fpp_ch0,dwr_die1_lower;dwr_die1_upper,,1.21,thermal_die1,
H_core_die1_cpu_lane1,core_die1_cpu,H,4,CAPTURE,1e-06,False,0,,,,2.24,thermal_die1,
H_core_die1_cpu_lane1,core_die1_cpu,H,5,FPP_SHIFT_OUT,0.0024,False,1,fpp_ch0,dwr_die1_lower;dwr_die1_upper,,1.21,thermal_die1,
H_core_die1_cpu_lane1,core_die1_cpu,H,6,SERIAL_STATUS_READBACK,1.28e-06,True,0,,,,0.14,thermal_die1,
H_core_die1_cpu_lane2,core_die1_cpu,H,0,CONFIG_ACCESS_PATH,3.2e-06,True,0,,,,0.14,thermal_die1,
H_core_die1_cpu_lane2,core_die1_cpu,H,1,CONFIG_FPP,1.28e-06,True,0,fpp_ch0,,,0.14,thermal_die1,
H_core_die1_cpu_lane2,core_die1_cpu,H,2,CONFIG_SCAN_OR_DWR_MODE,1.64e-06,True,0,,dwr_die1_lower;dwr_die1_upper,,0.14,thermal_die1,
H_core_die1_cpu_lane2,core_die1_cpu,H,3,FPP_SHIFT_IN,0.0012,False,2,fpp_ch0,dwr_die1_lower;dwr_die1_upper,,1.23,thermal_die1,
H_core_die1_cpu_lane2,core_die1_cpu,H,4,CAPTURE,1e-06,False,0,,,,2.24,thermal_die1,
H_core_die1_cpu_lane2,core_die1_cpu,H,5,FPP_SHIFT_OUT,0.0012,False,2,fpp_ch0,dwr_die1_lower;dwr_die1_upper,,1.23,thermal_die1,
H_core_die1_cpu_lane2,core_die1_cpu,H,6,SERIAL_STATUS_READBACK,1.28e-06,True,0,,,,0.14,thermal_die1,
S_core_die1_cpu_serial,core_die1_cpu,S,0,CONFIG_ACCESS_PATH,3.2e-06,True,0,,,,0.14,thermal_die1,
S_core_die1_cpu_serial,core_die1_cpu,S,1,CONFIG_SCAN_OR_DWR_MODE,1.64e-06,True,0,,dwr_die1_lower;dwr_die1_upper,,0.14,thermal_die1,
S_core_die1_cpu_serial,core_die1_cpu,S,2,SERIAL_SHIFT_IN,0.0096,True,0,,,,1.19,thermal_die1,
S_core_die1_cpu_serial,core_die1_cpu,S,3,CAPTURE,1e-06,False,0,,,,2.24,thermal_die1,
S_core_die1_cpu_serial,core_die1_cpu,S,4,SERIAL_SHIFT_OUT,0.00961088,True,0,,dwr_die1_lower;dwr_die1_upper,,1.19,thermal_die1,
B_core_die3_accel_local_bist,core_die3_accel,B,0,CONFIG_BIST,8.96e-06,True,0,,,,0.16,thermal_die3,
B_core_die3_accel_local_bist,core_die3_accel,B,1,LOCAL_BIST_RUN,0.0075,False,0,,,,1.96,thermal_die3,external access resources released
B_core_die3_accel_local_bist,core_die3_accel,B,2,READ_BIST_RESULT,6.08e-06,True,0,,,,0.16,thermal_die3,
F_core_die3_accel_lane1,core_die3_accel,F,0,CONFIG_ACCESS_PATH,5.76e-06,True,0,,,,0.16,thermal_die3,
F_core_die3_accel_lane1,core_die3_accel,F,1,CONFIG_FPP,1.28e-06,True,0,fpp_ch0,,,0.16,thermal_die3,
F_core_die3_accel_lane1,core_die3_accel,F,2,CONFIG_SCAN_OR_DWR_MODE,1.32e-06,True,0,,dwr_die3_lower,,0.16,thermal_die3,
F_core_die3_accel_lane1,core_die3_accel,F,3,FPP_SHIFT_IN,0.003456,False,1,fpp_ch0,dwr_die3_lower,,1.39,thermal_die3,
F_core_die3_accel_lane1,core_die3_accel,F,4,CAPTURE,1e-06,False,0,,,,2.7600000000000002,thermal_die3,
F_core_die3_accel_lane1,core_die3_accel,F,5,FPP_SHIFT_OUT,0.003456,False,1,fpp_ch0,dwr_die3_lower,,1.39,thermal_die3,
F_core_die3_accel_lane2,core_die3_accel,F,0,CONFIG_ACCESS_PATH,5.76e-06,True,0,,,,0.16,thermal_die3,
F_core_die3_accel_lane2,core_die3_accel,F,1,CONFIG_FPP,1.28e-06,True,0,fpp_ch0,,,0.16,thermal_die3,
