case_id,target_id,target_kind,die_id,recipe_id,recipe_type,phase_index,phase_name,start_s,end_s,duration_s,serial_required,fpp_lanes_required,fpp_channel,dwr_segments,route_resource,exclusive_resource,power_w,thermal_region,resource_notes
v4_4die_3d_stack,core3b_die2,core,die2,F_core3b_die2_lane1,F,0,CONFIG_ACCESS_PATH,0.0,3.2e-06,3.2e-06,True,0,,dwr_die2,,,0.1,thermal_die2,
v4_4die_3d_stack,core3b_die2,core,die2,F_core3b_die2_lane1,F,1,CONFIG_FPP,3.2e-06,4.48e-06,1.28e-06,True,0,fpp_3d_stack,dwr_die2,,,0.1,thermal_die2,
v4_4die_3d_stack,core3b_die2,core,die2,F_core3b_die2_lane1,F,2,CONFIG_SCAN_OR_DWR_MODE,4.48e-06,5.8e-06,1.32e-06,True,0,,dwr_die2,,,0.1,thermal_die2,
v4_4die_3d_stack,core4_die3,core,die3,S_core4_die3_serial,S,0,CONFIG_ACCESS_PATH,5.8e-06,1.028e-05,4.48e-06,True,0,,dwr_die3,,,0.09,thermal_die3,
v4_4die_3d_stack,core3b_die2,core,die2,F_core3b_die2_lane1,F,3,FPP_SHIFT_IN,5.8e-06,0.0031933,0.0031875,False,1,fpp_3d_stack,dwr_die2,,test_session_die2,1.3800000000000001,thermal_die2,
v4_4die_3d_stack,core2_die1,core,die1,S_core2_die1_serial,S,0,CONFIG_ACCESS_PATH,1.028e-05,1.348e-05,3.2e-06,True,0,,dwr_die1,,,0.11,thermal_die1,
v4_4die_3d_stack,core2_die1,core,die1,S_core2_die1_serial,S,1,CONFIG_SCAN_OR_DWR_MODE,1.348e-05,1.48e-05,1.32e-06,True,0,,dwr_die1,,,0.11,thermal_die1,
v4_4die_3d_stack,core4_die3,core,die3,S_core4_die3_serial,S,1,CONFIG_SCAN_OR_DWR_MODE,1.48e-05,1.612e-05,1.32e-06,True,0,,dwr_die3,,,0.09,thermal_die3,
v4_4die_3d_stack,core2_die1,core,die1,S_core2_die1_serial,S,2,SERIAL_SHIFT_IN,1.612e-05,0.38401612,0.384,True,0,,dwr_die1,,test_session_die1,1.51,thermal_die1,
v4_4die_3d_stack,core3b_die2,core,die2,F_core3b_die2_lane1,F,4,CAPTURE,0.0031933,0.0031943,1e-06,False,0,,dwr_die2,,test_session_die2,2.2,thermal_die2,
v4_4die_3d_stack,core3b_die2,core,die2,F_core3b_die2_lane1,F,5,FPP_SHIFT_OUT,0.0031943,0.0063818,0.0031875,False,1,fpp_3d_stack,dwr_die2,,test_session_die2,1.3800000000000001,thermal_die2,
v4_4die_3d_stack,core2_die1,core,die1,S_core2_die1_serial,S,3,CAPTURE,0.38401612,0.38401712,1e-06,False,0,,dwr_die1,,test_session_die1,2.4099999999999997,thermal_die1,
v4_4die_3d_stack,core3a_die2,core,die2,F_core3a_die2_lane1,F,0,CONFIG_ACCESS_PATH,0.38401612,0.38401932,3.2e-06,True,0,,dwr_die2,,,0.11,thermal_die2,
v4_4die_3d_stack,core2_die1,core,die1,S_core2_die1_serial,S,4,SERIAL_SHIFT_OUT,0.38401932,0.76802492,0.3840056,True,0,,dwr_die1,,test_session_die1,1.51,thermal_die1,
v4_4die_3d_stack,instr0_die3,instrument,die3,IJTAG_instr0_die3_serial,IJTAG,0,CONFIG_ACCESS_PATH,0.76802492,0.7680294,4.48e-06,True,0,,,,,0.04,thermal_die3,
v4_4die_3d_stack,core0_die0,core,die0,F_core0_die0_lane1,F,0,CONFIG_ACCESS_PATH,0.7680294,0.76803132,1.92e-06,True,0,,dwr_die0,,,0.12,thermal_die0,
v4_4die_3d_stack,core3a_die2,core,die2,F_core3a_die2_lane1,F,1,CONFIG_FPP,0.76803132,0.7680326,1.28e-06,True,0,fpp_3d_stack,dwr_die2,,,0.11,thermal_die2,
v4_4die_3d_stack,core0_die0,core,die0,F_core0_die0_lane1,F,1,CONFIG_FPP,0.7680326,0.76803388,1.28e-06,True,0,fpp_3d_stack,dwr_die0,,,0.12,thermal_die0,
v4_4die_3d_stack,core0_die0,core,die0,F_core0_die0_lane1,F,2,CONFIG_SCAN_OR_DWR_MODE,0.76803388,0.7680352,1.32e-06,True,0,,dwr_die0,,,0.12,thermal_die0,
v4_4die_3d_stack,core3a_die2,core,die2,F_core3a_die2_lane1,F,2,CONFIG_SCAN_OR_DWR_MODE,0.7680352,0.76803652,1.32e-06,True,0,,dwr_die2,,,0.11,thermal_die2,
v4_4die_3d_stack,core0_die0,core,die0,F_core0_die0_lane1,F,3,FPP_SHIFT_IN,0.7680352,0.7730352,0.005,False,1,fpp_3d_stack,dwr_die0,,test_session_die0,1.65,thermal_die0,
v4_4die_3d_stack,instr0_die3,instrument,die3,IJTAG_instr0_die3_serial,IJTAG,1,ACCESS_INSTRUMENT,0.76803652,0.76803684,3.2e-07,True,0,,,,,0.04,thermal_die3,
v4_4die_3d_stack,core3a_die2,core,die2,F_core3a_die2_lane1,F,3,FPP_SHIFT_IN,0.76803652,0.77231152,0.004275,False,1,fpp_3d_stack,dwr_die2,,test_session_die2,1.59,thermal_die2,
v4_4die_3d_stack,instr0_die3,instrument,die3,IJTAG_instr0_die3_serial,IJTAG,2,READ_INSTRUMENT,0.76803684,0.76803748,6.4e-07,True,0,,,,,0.04,thermal_die3,
v4_4die_3d_stack,core4_die3,core,die3,S_core4_die3_serial,S,2,SERIAL_SHIFT_IN,0.76803748,0.96303748,0.195,True,0,,dwr_die3,,test_session_die3,1.29,thermal_die3,
v4_4die_3d_stack,core3a_die2,core,die2,F_core3a_die2_lane1,F,4,CAPTURE,0.77231152,0.77231252,1e-06,False,0,,dwr_die2,,test_session_die2,2.51,thermal_die2,
v4_4die_3d_stack,core0_die0,core,die0,F_core0_die0_lane1,F,4,CAPTURE,0.7730352,0.7730362,1e-06,False,0,,dwr_die0,,test_session_die0,2.62,thermal_die0,
v4_4die_3d_stack,core0_die0,core,die0,F_core0_die0_lane1,F,5,FPP_SHIFT_OUT,0.7730362,0.7780362,0.005,False,1,fpp_3d_stack,dwr_die0,,test_session_die0,1.65,thermal_die0,
